file_id,device_id,reader_id,tag_uid,attack_scenario,enc_algo,hecc_kx_ms,enc_latency_ms,dec_latency_ms,e2e_latency_ms,cpu_pct,mem_mb,encryption_success,ts_scan
97ca4ff0,D-GW01,RDR-ISO15693,T-0001,baseline,HECC+ASCON-128a,3.082,1.073,1.074,2.151,0.0,1018.21,Yes,2026-01-05T18:20:20Z
0aac95a4,D-GW01,RDR-ISO15693,T-0001,baseline,HECC+ASCON-128a,3.082,1.033,1.073,2.11,25.0,1017.98,Yes,2026-01-05T18:20:20Z
a12f9dba,D-GW01,RDR-ISO15693,T-0001,baseline,HECC+ASCON-128a,3.082,1.075,1.085,2.163,0.0,1017.69,Yes,2026-01-05T18:20:20Z
3c17772a,D-GW01,RDR-ISO15693,T-0001,baseline,HECC+ASCON-128a,3.082,1.076,1.08,2.16,0.0,1016.71,Yes,2026-01-05T18:20:20Z
4b09e081,D-GW01,RDR-ISO15693,T-0001,baseline,HECC+ASCON-128a,3.082,1.086,1.107,2.198,25.0,1016.96,Yes,2026-01-05T18:20:20Z
cb578757,D-GW01,RDR-ISO15693,T-0001,baseline,HECC+ASCON-128a,3.082,1.079,1.073,2.156,0.0,1016.96,Yes,2026-01-05T18:20:20Z
b994cfbe,D-GW01,RDR-ISO15693,T-0001,baseline,HECC+ASCON-128a,3.082,1.069,1.081,2.153,0.0,1017.2,Yes,2026-01-05T18:20:20Z
affd932d,D-GW01,RDR-ISO15693,T-0001,baseline,HECC+ASCON-128a,3.082,1.076,1.071,2.152,0.0,1017.45,Yes,2026-01-05T18:20:20Z
ea3d65b6,D-GW01,RDR-ISO15693,T-0001,baseline,HECC+ASCON-128a,3.082,1.073,1.074,2.151,25.0,1017.45,Yes,2026-01-05T18:20:20Z
c59d717c,D-GW01,RDR-ISO15693,T-0001,baseline,HECC+ASCON-128a,3.082,1.078,1.077,2.159,0.0,1017.7,Yes,2026-01-05T18:20:20Z
3107982a,D-GW01,RDR-ISO15693,T-0001,baseline,HECC+ASCON-128a,3.082,1.073,1.076,2.152,25.0,1018.19,Yes,2026-01-05T18:20:20Z
7596cf2d,D-GW01,RDR-ISO15693,T-0001,baseline,HECC+ASCON-128a,3.082,1.07,1.095,2.173,0.0,1018.19,Yes,2026-01-05T18:20:20Z
8c2202af,D-GW01,RDR-ISO15693,T-0001,baseline,HECC+ASCON-128a,3.082,1.086,1.074,2.162,0.0,1018.92,Yes,2026-01-05T18:20:20Z
0c5c0e15,D-GW01,RDR-ISO15693,T-0001,baseline,HECC+ASCON-128a,3.082,1.085,1.078,2.166,25.0,1018.92,Yes,2026-01-05T18:20:20Z
1ceb28d5,D-GW01,RDR-ISO15693,T-0001,baseline,HECC+ASCON-128a,3.082,1.075,1.072,2.15,0.0,1018.92,Yes,2026-01-05T18:20:20Z
a247bef5,D-GW01,RDR-ISO15693,T-0001,baseline,HECC+ASCON-128a,3.082,1.078,1.078,2.16,25.0,1019.66,Yes,2026-01-05T18:20:20Z
924d12f0,D-GW01,RDR-ISO15693,T-0001,baseline,HECC+ASCON-128a,3.082,1.078,1.049,2.131,0.0,1019.66,Yes,2026-01-05T18:20:20Z
3c0601d9,D-GW01,RDR-ISO15693,T-0001,baseline,HECC+ASCON-128a,3.082,1.083,1.068,2.154,0.0,1019.91,Yes,2026-01-05T18:20:20Z
ced085c0,D-GW01,RDR-ISO15693,T-0001,baseline,HECC+ASCON-128a,3.082,1.07,1.077,2.15,0.0,1020.15,Yes,2026-01-05T18:20:20Z
30283f04,D-GW01,RDR-ISO15693,T-0001,baseline,HECC+ASCON-128a,3.082,1.072,1.067,2.142,0.0,1020.15,Yes,2026-01-05T18:20:20Z
9122086e,D-GW01,RDR-ISO15693,T-0001,baseline,HECC+ASCON-128a,3.082,1.096,1.08,2.179,25.0,1020.15,Yes,2026-01-05T18:20:20Z
92f7e6f8,D-GW01,RDR-ISO15693,T-0001,baseline,HECC+ASCON-128a,3.082,1.08,1.067,2.15,0.0,1020.64,Yes,2026-01-05T18:20:20Z
0f61087b,D-GW01,RDR-ISO15693,T-0001,baseline,HECC+ASCON-128a,3.082,1.083,1.075,2.162,25.0,1020.64,Yes,2026-01-05T18:20:20Z
33acd6aa,D-GW01,RDR-ISO15693,T-0001,baseline,HECC+ASCON-128a,3.082,1.068,1.122,2.193,20.0,1020.9,Yes,2026-01-05T18:20:20Z
5b6f70b1,D-GW01,RDR-ISO15693,T-0001,baseline,HECC+ASCON-128a,3.082,1.078,1.081,2.162,0.0,1020.9,Yes,2026-01-05T18:20:20Z
4092b777,D-GW01,RDR-ISO15693,T-0001,baseline,HECC+ASCON-128a,3.082,1.074,1.076,2.152,0.0,1019.68,Yes,2026-01-05T18:20:20Z
0908cdca,D-GW01,RDR-ISO15693,T-0001,baseline,HECC+ASCON-128a,3.082,1.092,1.1,2.195,0.0,1019.93,Yes,2026-01-05T18:20:20Z
2aee6eef,D-GW01,RDR-ISO15693,T-0001,baseline,HECC+ASCON-128a,3.082,1.075,1.068,2.146,25.0,1019.7,Yes,2026-01-05T18:20:20Z
14731f31,D-GW01,RDR-ISO15693,T-0001,baseline,HECC+ASCON-128a,3.082,1.07,1.067,2.139,0.0,1019.7,Yes,2026-01-05T18:20:20Z
22172d92,D-GW01,RDR-ISO15693,T-0001,baseline,HECC+ASCON-128a,3.082,1.074,1.067,2.144,0.0,1020.19,Yes,2026-01-05T18:20:20Z
8c253f92,D-GW01,RDR-ISO15693,T-0001,baseline,HECC+ASCON-128a,3.082,1.069,1.111,2.183,0.0,1020.19,Yes,2026-01-05T18:20:20Z
506cd534,D-GW01,RDR-ISO15693,T-0001,baseline,HECC+ASCON-128a,3.082,1.07,1.077,2.15,0.0,1020.19,Yes,2026-01-05T18:20:20Z
3e43ea1f,D-GW01,RDR-ISO15693,T-0001,baseline,HECC+ASCON-128a,3.082,1.073,1.08,2.157,25.0,1020.92,Yes,2026-01-05T18:20:20Z
56015ff7,D-GW01,RDR-ISO15693,T-0001,baseline,HECC+ASCON-128a,3.082,1.083,1.075,2.161,0.0,1020.92,Yes,2026-01-05T18:20:20Z
eef4d67f,D-GW01,RDR-ISO15693,T-0001,baseline,HECC+ASCON-128a,3.082,1.08,1.079,2.162,25.0,1019.61,Yes,2026-01-05T18:20:20Z
af04b8b5,D-GW01,RDR-ISO15693,T-0001,baseline,HECC+ASCON-128a,3.082,1.073,1.067,2.143,0.0,1019.17,Yes,2026-01-05T18:20:20Z
052d67db,D-GW01,RDR-ISO15693,T-0001,baseline,HECC+ASCON-128a,3.082,1.069,1.085,2.157,40.0,1019.17,Yes,2026-01-05T18:20:20Z
124c4385,D-GW01,RDR-ISO15693,T-0001,baseline,HECC+ASCON-128a,3.082,1.069,1.146,2.218,0.0,1019.41,Yes,2026-01-05T18:20:20Z
