file_id,device_id,reader_id,tag_uid,attack_scenario,enc_algo,hecc_kx_ms,enc_latency_ms,dec_latency_ms,e2e_latency_ms,cpu_pct,mem_mb,encryption_success,ts_scan
9b7ffa67,D-GW01,RDR-ISO15693,T-0001,ransomware,HECC+ASCON-128a,3.065,1.063,1.3,2.364,7.3,1023.12,Yes,2026-01-05T18:20:28Z
48c2731b,D-GW01,RDR-ISO15693,T-0001,ransomware,HECC+ASCON-128a,3.065,1.079,1.066,2.147,0.0,1023.12,Yes,2026-01-05T18:20:28Z
a9f3cc26,D-GW01,RDR-ISO15693,T-0001,ransomware,HECC+ASCON-128a,3.065,1.189,1.07,2.262,33.3,1022.38,Yes,2026-01-05T18:20:28Z
16d35cdf,D-GW01,RDR-ISO15693,T-0001,ransomware,HECC+ASCON-128a,3.065,1.346,1.065,2.414,0.0,1022.63,Yes,2026-01-05T18:20:28Z
d2251bb5,D-GW01,RDR-ISO15693,T-0001,ransomware,HECC+ASCON-128a,3.065,1.067,1.333,2.403,25.0,1022.63,Yes,2026-01-05T18:20:28Z
8166ed73,D-GW01,RDR-ISO15693,T-0001,ransomware,HECC+ASCON-128a,3.065,1.063,1.229,2.294,0.0,1022.88,Yes,2026-01-05T18:20:28Z
eee1589a,D-GW01,RDR-ISO15693,T-0001,ransomware,HECC+ASCON-128a,3.065,1.079,1.07,2.152,33.3,1022.88,Yes,2026-01-05T18:20:28Z
b218741a,D-GW01,RDR-ISO15693,T-0001,ransomware,HECC+ASCON-128a,3.065,1.074,1.095,2.172,0.0,1023.12,Yes,2026-01-05T18:20:28Z
7befc89c,D-GW01,RDR-ISO15693,T-0001,ransomware,HECC+ASCON-128a,3.065,1.079,1.067,2.149,0.0,1023.37,Yes,2026-01-05T18:20:28Z
9506b17c,D-GW01,RDR-ISO15693,T-0001,ransomware,HECC+ASCON-128a,3.065,1.078,1.07,2.151,0.0,1023.62,Yes,2026-01-05T18:20:28Z
b5942e66,D-GW01,RDR-ISO15693,T-0001,ransomware,HECC+ASCON-128a,3.065,1.086,1.073,2.162,14.3,1023.62,Yes,2026-01-05T18:20:28Z
67b306ba,D-GW01,RDR-ISO15693,T-0001,ransomware,HECC+ASCON-128a,3.065,1.07,1.073,2.146,20.0,1024.11,Yes,2026-01-05T18:20:28Z
c5871b76,D-GW01,RDR-ISO15693,T-0001,ransomware,HECC+ASCON-128a,3.065,1.071,1.07,2.143,0.0,1024.11,Yes,2026-01-05T18:20:28Z
385381df,D-GW01,RDR-ISO15693,T-0001,ransomware,HECC+ASCON-128a,3.065,1.135,1.067,2.204,40.0,1024.6,Yes,2026-01-05T18:20:28Z
